的	[※※※※※,※rqyy※,※de_dí_dì※,※GB2312※]
谷	[※※※※※,※wwkf※,※gǔ_yù※,※GB2312※]
扎	[※※※※,※rnn※,※zā_zhā_zhá※,※GB2312※]
铜	[※※※※※,※qmgk※,※tóng※,※GB2312※]
街	[※※※※※,※tffh※,※jiē※,※GB2312※]
店	[※※※※※,※yhkd※,※diàn※,※GB2312※]
冬	[※※※※,※tuu※,※dōng※,※GB2312※]
炉	[※※※※※,※oynt※,※lú※,※GB2312※]
姑	[※※※※,※vdg※,※gū※,※GB2312※]
恢	[※※※※※,※ndoy※,※huī※,※GB2312※]
彪	[※※※※※,※hame※,※biāo※,※GB2312※]
惯	[※※※※※,※nxfm※,※guàn※,※GB2312※]
朗	[※※※※※,※yvce※,※lǎng※,※GB2312※]
秀	[※※※※,※teb※,※xiù※,※GB2312※]
勇	[※※※※※,※celb※,※yǒng※,※GB2312※]
驻	[※※※※※,※cygg※,※zhù※,※GB2312※]
贺	[※※※※※,※lkmu※,※hè※,※GB2312※]
肯	[※※※※,※hef※,※kěn※,※GB2312※]
舞	[※※※※※,※rlgh※,※wǔ※,※GB2312※]
蒙	[※※※※※,※apge※,※mēng_méng_měng※,※GB2312※]
昌	[※※※※,※jjf※,※chāng※,※GB2312※]
粗	[※※※※※,※oegg※,※cū※,※GB2312※]
抵	[※※※※※,※rqay※,※dǐ※,※GB2312※]
贸	[※※※※※,※qyvm※,※mào※,※GB2312※]
亿	[※※※※,※wnn※,※yì※,※GB2312※]
俄	[※※※※※,※wtrt※,※é※,※GB2312※]
键	[※※※※※,※qvfp※,※jiàn※,※GB2312※]
您	[※※※※※,※wqin※,※nín※,※GB2312※]
旅	[※※※※※,※ytey※,※lǚ※,※GB2312※]
登	[※※※※※,※wgku※,※dēng※,※GB2312※]
壁	[※※※※※,※nkuf※,※bì※,※GB2312※]
乘	[※※※※※,※tuxv※,※chéng_shèng※,※GB2312※]
井	[※※※※,※fjk※,※jǐng※,※GB2312※]
闪	[※※※※,※uwi※,※shǎn※,※GB2312※]
湿	[※※※※※,※ijog※,※shī※,※GB2312※]
缓	[※※※※※,※xefc※,※huǎn※,※GB2312※]
洪	[※※※※※,※iawy※,※hóng※,※GB2312※]
秘	[※※※※※,※tntt※,※mì_bì※,※GB2312※]
芳	[※※※※,※ayb※,※fāng※,※GB2312※]
汗	[※※※※,※ifh※,※hàn_hán※,※GB2312※]
闭	[※※※※※,※ufte※,※bì※,※GB2312※]
卜	[※※※※,※hhy※,※bǔ_bo※,※GB2312※]
毕	[※※※※※,※xxfj※,※bì※,※GB2312※]
莫	[※※※※※,※ajdu※,※mò_mù※,※GB2312※]
津	[※※※※※,※ivfh※,※jīn※,※GB2312※]
挂	[※※※※※,※rffg※,※guà※,※GB2312※]
逃	[※※※※※,※iqpv※,※táo※,※GB2312※]
磨	[※※※※※,※yssd※,※mó_mò※,※GB2312※]
蛋	[※※※※※,※nhju※,※dàn※,※GB2312※]
股	[※※※※※,※emcy※,※gǔ※,※GB2312※]
黎	[※※※※※,※tqti※,※lí※,※GB2312※]
塔	[※※※※※,※fawk※,※tǎ※,※GB2312※]
塑	[※※※※※,※ubtf※,※sù※,※GB2312※]
贡	[※※※※,※amu※,※gòng※,※GB2312※]
港	[※※※※※,※iawn※,※gǎng_jiǎng※,※GB2312※]
腐	[※※※※※,※ywfw※,※fǔ※,※GB2312※]
筑	[※※※※※,※tamy※,※zhù_zhú※,※GB2312※]
冰	[※※※※,※uiy※,※bīng※,※GB2312※]
净	[※※※※※,※uqvh※,※jìng_chēng※,※GB2312※]
健	[※※※※※,※wvfp※,※jiàn※,※GB2312※]
殖	[※※※※※,※gqfh※,※zhí_shi※,※GB2312※]
婚	[※※※※※,※vqaj※,※hūn※,※GB2312※]
奴	[※※※※,※vcy※,※nú※,※GB2312※]
插	[※※※※※,※rtfv※,※chā※,※GB2312※]
辩	[※※※※※,※uyuh※,※biàn※,※GB2312※]
纺	[※※※※,※xyn※,※fǎng※,※GB2312※]
刺	[※※※※※,※gmij※,※cì_cī※,※GB2312※]
啦	[※※※※※,※krug※,※lā_la※,※GB2312※]
勒	[※※※※※,※afln※,※lè_lēi※,※GB2312※]
援	[※※※※※,※refc※,※yuán※,※GB2312※]
像	[※※※※※,※wqje※,※xiàng※,※GB2312※]
仪	[※※※※※,※wyqy※,※yí※,※GB2312※]
萨	[※※※※※,※abut※,※sà※,※GB2312※]
徒	[※※※※※,※tfhy※,※tú※,※GB2312※]
弄	[※※※※,※gaj※,※nòng_lòng※,※GB2312※]
浪	[※※※※※,※iyve※,※làng※,※GB2312※]
陷	[※※※※※,※bqvg※,※xiàn※,※GB2312※]
汇	[※※※※,※ian※,※huì※,※GB2312※]
函	[※※※※※,※bibk※,※hán※,※GB2312※]
休	[※※※※,※wsy※,※xiū_xǔ※,※GB2312※]
炼	[※※※※※,※oanw※,※liàn※,※GB2312※]
舍	[※※※※※,※wfkf※,※shě_shè※,※GB2312※]
坡	[※※※※※,※fhcy※,※pō※,※GB2312※]
岛	[※※※※※,※qynm※,※dǎo※,※GB2312※]
猪	[※※※※※,※qtfj※,※zhū※,※GB2312※]
郭	[※※※※※,※ybbh※,※guō※,※GB2312※]
隔	[※※※※※,※bgkh※,※gé※,※GB2312※]
氯	[※※※※※,※rnvi※,※lǜ※,※GB2312※]
忘	[※※※※※,※ynnu※,※wàng※,※GB2312※]
尖	[※※※※,※idu※,※jiān※,※GB2312※]
伏	[※※※※,※wdy※,※fú※,※GB2312※]
浮	[※※※※※,※iebg※,※fú※,※GB2312※]
虚	[※※※※※,※haog※,※xū※,※GB2312※]
朋	[※※※※,※eeg※,※péng※,※GB2312※]
授	[※※※※※,※repc※,※shòu※,※GB2312※]
玻	[※※※※※,※ghcy※,※bō※,※GB2312※]
睡	[※※※※※,※htgf※,※shuì※,※GB2312※]
障	[※※※※※,※bujh※,※zhàng※,※GB2312※]
辛	[※※※※※,※uygh※,※xīn※,※GB2312※]
碱	[※※※※※,※ddgt※,※jiǎn_xián※,※GB2312※]
贫	[※※※※※,※wvmu※,※pín※,※GB2312※]
岩	[※※※※,※mdf※,※yán※,※GB2312※]
泪	[※※※※,※ihg※,※lèi※,※GB2312※]
臣	[※※※※※,※ahnh※,※chén※,※GB2312※]
疑	[※※※※※,※xtdh※,※yí_nǐ※,※GB2312※]
滚	[※※※※※,※iuce※,※gǔn※,※GB2312※]
壮	[※※※※,※ufg※,※zhuàng※,※GB2312※]
梁	[※※※※※,※ivws※,※liáng※,※GB2312※]
荡	[※※※※※,※ainr※,※dàng※,※GB2312※]
启	[※※※※※,※ynkd※,※qǐ※,※GB2312※]
瑞	[※※※※※,※gmdj※,※ruì※,※GB2312※]
穷	[※※※※※,※pwlb※,※qióng※,※GB2312※]
甘	[※※※※,※afd※,※gān※,※GB2312※]
箱	[※※※※※,※tshf※,※xiāng※,※GB2312※]
童	[※※※※※,※ujff※,※tóng※,※GB2312※]
淡	[※※※※※,※iooy※,※dàn※,※GB2312※]
峰	[※※※※※,※mtdh※,※fēng※,※GB2312※]
纲	[※※※※※,※xmqy※,※gāng※,※GB2312※]
牙	[※※※※※,※ahte※,※yá※,※GB2312※]
怪	[※※※※※,※ncfg※,※guài※,※GB2312※]
佛	[※※※※※,※wxjh※,※fó_fú_bì_bó※,※GB2312※]
脂	[※※※※※,※exjg※,※zhī※,※GB2312※]
炸	[※※※※※,※othf※,※zhà_zhá※,※GB2312※]
幸	[※※※※※,※fufj※,※xìng※,※GB2312※]
截	[※※※※※,※fawy※,※jié※,※GB2312※]
牧	[※※※※※,※trty※,※mù※,※GB2312※]
售	[※※※※※,※wykf※,※shòu※,※GB2312※]
蓝	[※※※※※,※ajtl※,※lán※,※GB2312※]
镜	[※※※※※,※qujq※,※jìng※,※GB2312※]
震	[※※※※※,※fdfe※,※zhèn※,※GB2312※]
罢	[※※※※※,※lfcu※,※bà_ba_pí※,※GB2312※]
锅	[※※※※※,※qkmw※,※guō※,※GB2312※]
绕	[※※※※※,※xatq※,※rào※,※GB2312※]
软	[※※※※※,※lqwy※,※ruǎn※,※GB2312※]
拥	[※※※※,※reh※,※yōng※,※GB2312※]
尊	[※※※※※,※usgf※,※zūn※,※GB2312※]
豆	[※※※※※,※gkuf※,※dòu※,※GB2312※]
礼	[※※※※※,※pynn※,※lǐ※,※GB2312※]
剩	[※※※※※,※tuxj※,※shèng※,※GB2312※]
擦	[※※※※※,※rpwi※,※cā※,※GB2312※]
耕	[※※※※※,※difj※,※gēng※,※GB2312※]
颜	[※※※※※,※utem※,※yán※,※GB2312※]
泰	[※※※※※,※dwiu※,※tài※,※GB2312※]
菌	[※※※※※,※altu※,※jūn_jùn※,※GB2312※]
绩	[※※※※※,※xgmy※,※jì_jī※,※GB2312※]
勤	[※※※※※,※akgl※,※qín※,※GB2312※]
竹	[※※※※※,※ttgh※,※zhú※,※GB2312※]
拖	[※※※※※,※rtbn※,※tuō※,※GB2312※]
尤	[※※※※,※dnv※,※yóu※,※GB2312※]
伍	[※※※※,※wgg※,※wǔ※,※GB2312※]
匀	[※※※※,※qud※,※yún_jūn_yùn※,※GB2312※]
锋	[※※※※※,※qtdh※,※fēng※,※GB2312※]
爆	[※※※※※,※ojai※,※bào※,※GB2312※]
刊	[※※※※,※fjh※,※kān※,※GB2312※]
姓	[※※※※※,※vtgg※,※xìng※,※GB2312※]
仿	[※※※※,※wyn※,※fǎng※,※GB2312※]
尾	[※※※※※,※ntfn※,※wěi_yǐ※,※GB2312※]
脉	[※※※※※,※eyni※,※mài_mò※,※GB2312※]
违	[※※※※※,※fnhp※,※wéi※,※GB2312※]
欲	[※※※※※,※wwkw※,※yù※,※GB2312※]
筒	[※※※※※,※tmgk※,※tǒng※,※GB2312※]
洞	[※※※※※,※imgk※,※dòng※,※GB2312※]
璃	[※※※※※,※gybc※,※lí※,※GB2312※]
墨	[※※※※※,※lfof※,※mò※,※GB2312※]
默	[※※※※※,※lfod※,※mò※,※GB2312※]
邦	[※※※※※,※dtbh※,※bāng※,※GB2312※]
稍	[※※※※※,※tieg※,※shāo_shào※,※GB2312※]
丽	[※※※※※,※gmyy※,※lì_lí※,※GB2312※]
珠	[※※※※※,※griy※,※zhū※,※GB2312※]
梅	[※※※※※,※stxu※,※méi※,※GB2312※]
喝	[※※※※※,※kjqn※,※hē_hè_yè※,※GB2312※]
币	[※※※※※,※tmhk※,※bì_yìn※,※GB2312※]
窗	[※※※※※,※pwtq※,※chuāng※,※GB2312※]
氏	[※※※※,※qav※,※shì_zhī※,※GB2312※]
潜	[※※※※※,※ifwj※,※qián※,※GB2312※]
抱	[※※※※※,※rqnn※,※bào※,※GB2312※]
森	[※※※※※,※sssu※,※sēn※,※GB2312※]
袖	[※※※※※,※pumg※,※xiù※,※GB2312※]
喊	[※※※※※,※kdgt※,※hǎn※,※GB2312※]
毁	[※※※※※,※vamc※,※huǐ_huì※,※GB2312※]
艰	[※※※※※,※cvey※,※jiān※,※GB2312※]
挑	[※※※※※,※riqn※,※tiāo_tiǎo※,※GB2312※]
焦	[※※※※※,※wyou※,※jiāo※,※GB2312※]
灾	[※※※※,※pou※,※zāi※,※GB2312※]
泡	[※※※※※,※iqnn※,※pào_pāo※,※GB2312※]
摩	[※※※※※,※yssr※,※mó_mā※,※GB2312※]
夹	[※※※※※,※guwi※,※jiā_jiá_gā※,※GB2312※]
枝	[※※※※※,※sfcy※,※zhī_qí※,※GB2312※]
埃	[※※※※※,※fctd※,※āi※,※GB2312※]
呈	[※※※※,※kgf※,※chéng※,※GB2312※]
咱	[※※※※※,※kthg※,※zán_zá_zǎ※,※GB2312※]
描	[※※※※※,※ralg※,※miáo※,※GB2312※]
池	[※※※※,※ibn※,※chí※,※GB2312※]
姐	[※※※※※,※vegg※,※jiě※,※GB2312※]
寒	[※※※※※,※pfju※,※hán※,※GB2312※]
宫	[※※※※※,※pkkf※,※gōng※,※GB2312※]
戴	[※※※※※,※falw※,※dài※,※GB2312※]
赤	[※※※※,※fou※,※chì※,※GB2312※]
